Call_ID,Caller_ID,Receiver_ID,Duration,Call_Type,Date
2001,C136,C390,9,Roaming,2024-02-19
2002,C156,C352,32,Roaming,2024-04-03
2003,C274,C390,41,Local,2024-05-16
2004,C165,C352,13,International,2024-03-18
2005,C287,C446,55,International,2024-04-02
2006,C222,C474,59,Roaming,2024-05-01
2007,C214,C366,17,Local,2024-05-16
2008,C162,C383,51,Roaming,2024-01-29
2009,C165,C355,12,International,2024-02-17
2010,C289,C304,32,Local,2024-04-28
2011,C248,C430,30,Local,2024-06-08
2012,C230,C433,8,International,2024-02-29
2013,C107,C394,40,Local,2024-01-23
2014,C261,C433,36,Local,2024-02-25
2015,C226,C326,43,International,2024-03-13
2016,C207,C306,18,Roaming,2024-01-19
2017,C157,C467,57,Local,2024-01-15
2018,C261,C464,39,International,2024-01-29
2019,C265,C338,55,Roaming,2024-06-29
2020,C180,C451,58,Roaming,2024-05-18
2021,C207,C454,34,International,2024-02-21
2022,C132,C304,6,International,2024-04-27
2023,C270,C468,9,Roaming,2024-06-01
2024,C291,C333,45,International,2024-01-06
2025,C256,C462,47,Local,2024-04-14
2026,C107,C449,11,Roaming,2024-03-06
2027,C170,C433,26,International,2024-06-24
2028,C209,C420,49,Local,2024-03-17
2029,C154,C395,3,Local,2024-02-24
2030,C240,C487,23,Roaming,2024-06-15
2031,C148,C338,41,Roaming,2024-04-07
2032,C235,C423,54,Roaming,2024-04-30
2033,C280,C379,59,Local,2024-06-28
2034,C141,C420,26,Local,2024-04-26
2035,C109,C378,59,Roaming,2024-02-03
2036,C215,C338,46,International,2024-05-11
2037,C148,C449,31,Roaming,2024-03-19
2038,C148,C488,4,International,2024-05-23
2039,C214,C317,25,International,2024-05-29
2040,C278,C377,36,Roaming,2024-03-18
2041,C133,C476,51,Roaming,2024-02-29
2042,C185,C489,59,Roaming,2024-01-13
2043,C157,C399,53,International,2024-06-19
2044,C189,C468,34,Roaming,2024-06-16
2045,C298,C409,47,Local,2024-02-03
2046,C124,C475,23,Local,2024-03-05
2047,C270,C422,29,Roaming,2024-05-23
2048,C119,C351,44,International,2024-06-27
2049,C127,C327,37,Roaming,2024-01-31
2050,C222,C370,59,Local,2024-06-04
2051,C136,C410,10,Local,2024-04-19
2052,C181,C386,5,International,2024-01-25
2053,C144,C369,22,Local,2024-05-10
2054,C158,C404,36,Roaming,2024-05-10
2055,C222,C352,35,Roaming,2024-05-04
2056,C265,C461,58,International,2024-06-18
2057,C208,C319,57,International,2024-05-18
2058,C145,C471,2,Roaming,2024-04-21
2059,C132,C395,7,Local,2024-03-16
2060,C190,C332,37,Local,2024-06-06
2061,C246,C489,11,Local,2024-03-02
2062,C278,C428,41,International,2024-03-25
2063,C135,C442,30,Local,2024-03-26
2064,C295,C486,32,Local,2024-04-29
2065,C262,C359,48,International,2024-04-16
2066,C132,C362,53,Local,2024-01-01
2067,C114,C475,21,Roaming,2024-02-19
2068,C223,C453,23,Local,2024-02-10
2069,C262,C341,26,Local,2024-03-25
2070,C244,C358,31,Roaming,2024-01-12
2071,C105,C451,16,International,2024-04-28
2072,C122,C321,4,International,2024-06-13
2073,C185,C382,39,International,2024-03-26
2074,C235,C378,33,International,2024-01-22
2075,C201,C415,4,Roaming,2024-06-23
2076,C236,C394,20,Local,2024-01-14
2077,C186,C363,12,Roaming,2024-06-21
2078,C254,C431,48,Local,2024-02-25
2079,C124,C467,30,International,2024-01-14
2080,C192,C323,38,Roaming,2024-03-09
2081,C234,C466,41,Local,2024-05-25
2082,C257,C488,37,International,2024-03-27
2083,C234,C464,3,International,2024-04-28
2084,C297,C469,36,International,2024-02-17
2085,C159,C311,42,Local,2024-05-12
2086,C222,C488,53,Roaming,2024-05-24
2087,C179,C387,14,Local,2024-06-15
2088,C129,C482,48,Local,2024-06-04
