H | 65.6
D | 68.1
N | 95.9
W | 50.4
V | 87.0
L | 75.8
W | 89.2
V | 59.0
A | 66.8
T | 80.9
Z | 58.7
G | 99.5
X | 59.9
D | 66.1
B | 51.8
N | 60.3
B | 59.9
V | 94.2
A | 51.7
G | 97.2
S | 51.0
Y | 60.2
X | 65.4
A | 71.6
L | 63.6
R | 85.3
N | 97.8
J | 93.0
U | 55.3
I | 98.0
H | 99.3
L | 88.3
J | 91.0
Z | 64.9
Q | 62.4
I | 66.0
G | 64.9
P | 64.4
C | 99.4
J | 95.9
B | 59.6
R | 73.6
V | 53.8
K | 74.4
U | 58.6
L | 61.9
G | 74.0
K | 55.3
L | 77.3
Z | 86.0
V | 97.3
E | 94.9
U | 92.4
V | 50.7
K | 99.2
N | 81.7
A | 57.8
J | 67.1
Y | 63.9
Y | 74.5
I | 94.6
O | 52.9
K | 62.2
U | 87.5
D | 52.8
G | 98.8
Z | 60.9
Q | 51.0
B | 74.0
J | 59.9
H | 85.4
J | 96.2
R | 52.1
U | 52.7
Y | 61.7
I | 60.8
A | 88.9
J | 83.2
F | 59.0
X | 76.1
G | 60.4
W | 72.6
L | 89.9
J | 80.3
F | 98.4
Y | 64.4
P | 83.0
U | 93.8
E | 62.5
D | 70.4
Z | 89.5
J | 52.2
X | 56.3
L | 92.4
B | 65.1
Q | 81.3
M | 58.5
J | 62.0
S | 73.4
A | 85.9
K | 85.9
T | 81.5
E | 88.2
E | 64.2
W | 73.1
Z | 73.1
U | 65.1
S | 66.3
B | 58.2
H | 60.6
B | 78.0
E | 70.5
E | 55.0
U | 72.9
O | 94.5
Y | 81.9
H | 56.1
R | 64.8
W | 51.6
B | 64.0
F | 93.2
U | 53.2
V | 94.1
B | 53.1
W | 79.6
D | 53.0
R | 60.7
R | 71.5
Q | 69.7
H | 84.7
T | 83.9
I | 82.7
V | 76.7
H | 97.3
C | 55.6
M | 80.2
K | 96.1
U | 76.2
W | 79.6
Y | 56.2
L | 75.6
Y | 83.0
D | 60.8
X | 87.2
Y | 79.0
F | 86.5
G | 63.7
W | 81.0
P | 60.2
H | 93.8
A | 79.8
E | 83.5
I | 90.3
M | 69.9
B | 66.9
H | 51.2
W | 51.7
R | 86.4
N | 74.6
O | 64.4
U | 97.0
C | 54.0
K | 94.5
T | 55.4
H | 83.7
Q | 85.6
Q | 66.2
X | 57.1
W | 88.0
B | 93.0
H | 61.1
T | 83.5
P | 51.1
M | 73.9
O | 50.6
W | 80.5
O | 92.0
N | 67.2
P | 99.4
W | 51.6
G | 83.6
G | 95.4
X | 72.2
W | 91.1
J | 67.5
Q | 52.2
G | 94.2
R | 65.9
O | 62.7
E | 97.0
Z | 60.6
D | 85.7
Y | 89.8
A | 88.3
B | 59.7
F | 83.3
X | 79.1
L | 94.7
K | 69.8
S | 97.1
N | 94.8
I | 92.5
Q | 81.5
P | 63.8
F | 71.3
S | 75.4
N | 64.0
P | 52.2
N | 61.9
Y | 55.5
E | 82.8
N | 76.3
F | 83.1
G | 93.0
A | 55.7
Y | 91.6
A | 90.5
U | 79.7
G | 88.8
K | 91.9
B | 63.9
C | 77.7
N | 64.4
U | 85.2
A | 97.6
B | 98.2
N | 97.4
G | 83.4
H | 96.2
K | 94.1
U | 59.6
O | 60.8
G | 84.8
S | 97.3
Q | 80.3
O | 73.6
W | 92.0
Z | 87.4
L | 63.1
Y | 79.1
C | 52.4
F | 51.6
L | 96.7
V | 58.1
D | 76.0
K | 67.6
Y | 77.4
V | 79.0
